,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
161,MobileNetV2,CIFAR-10,2,32,1,918.067,EfficientNetB0,CIFAR-10,2,128,1,2910.601,28.753,3.608,4656
162,MobileNetV2,CIFAR-10,2,64,0,2070.454,EfficientNetB0,CIFAR-10,2,32,0,811.429,32.2,8.947,4722
163,MobileNetV2,CIFAR-10,2,64,0,2005.043,EfficientNetB0,CIFAR-10,2,32,1,748.873,31.684,8.484,4700
164,MobileNetV2,CIFAR-10,2,64,1,1843.526,EfficientNetB0,CIFAR-10,2,32,0,828.989,28.075,4.71,4496
165,MobileNetV2,CIFAR-10,2,64,1,1843.92,EfficientNetB0,CIFAR-10,2,32,1,748.409,26.516,4.263,4490
166,MobileNetV2,CIFAR-10,2,64,0,2051.085,EfficientNetB0,CIFAR-10,2,64,0,1652.129,32.4,9.411,4840
167,MobileNetV2,CIFAR-10,2,64,0,1978.598,EfficientNetB0,CIFAR-10,2,64,1,1497.573,31.832,8.589,4748
168,MobileNetV2,CIFAR-10,2,64,1,1832.187,EfficientNetB0,CIFAR-10,2,64,0,1657.436,28.876,5.381,4634
169,MobileNetV2,CIFAR-10,2,64,1,1790.222,EfficientNetB0,CIFAR-10,2,64,1,1412.902,27.189,4.453,4520
170,MobileNetV2,CIFAR-10,2,64,0,2092.594,EfficientNetB0,CIFAR-10,2,128,0,3331.806,35.606,11.697,5284
171,MobileNetV2,CIFAR-10,2,64,0,2108.676,EfficientNetB0,CIFAR-10,2,128,1,3100.142,34.817,10.14,4932
172,MobileNetV2,CIFAR-10,2,64,1,1803.589,EfficientNetB0,CIFAR-10,2,128,0,3333.13,31.716,7.263,5032
173,MobileNetV2,CIFAR-10,2,64,1,1851.909,EfficientNetB0,CIFAR-10,2,128,1,3025.48,30.213,5.708,4726
174,MobileNetV2,CIFAR-10,2,128,0,4085.361,EfficientNetB0,CIFAR-10,2,32,0,849.792,40.939,18.838,5210
175,MobileNetV2,CIFAR-10,2,128,0,3925.117,EfficientNetB0,CIFAR-10,2,32,1,725.891,39.68,17.753,5204
176,MobileNetV2,CIFAR-10,2,128,1,3604.819,EfficientNetB0,CIFAR-10,2,32,0,861.347,33.918,9.629,4818
177,MobileNetV2,CIFAR-10,2,128,1,3623.86,EfficientNetB0,CIFAR-10,2,32,1,736.041,33.667,9.204,4752
178,MobileNetV2,CIFAR-10,2,128,0,3828.376,EfficientNetB0,CIFAR-10,2,64,0,1604.415,41.228,18.208,5346
179,MobileNetV2,CIFAR-10,2,128,0,3855.084,EfficientNetB0,CIFAR-10,2,64,1,1494.213,40.701,17.959,5252
180,MobileNetV2,CIFAR-10,2,128,1,3514.115,EfficientNetB0,CIFAR-10,2,64,0,1640.056,34.968,10.189,4954
181,MobileNetV2,CIFAR-10,2,128,1,3731.048,EfficientNetB0,CIFAR-10,2,64,1,1538.122,35.546,9.649,4860
182,MobileNetV2,CIFAR-10,2,128,0,3901.446,EfficientNetB0,CIFAR-10,2,128,0,3155.824,45.196,20.845,5814
183,MobileNetV2,CIFAR-10,2,128,0,3976.772,EfficientNetB0,CIFAR-10,2,128,1,2862.675,42.267,18.96,5438
184,MobileNetV2,CIFAR-10,2,128,1,3883.232,EfficientNetB0,CIFAR-10,2,128,0,3493.351,39.525,13.192,5238
185,MobileNetV2,CIFAR-10,2,128,1,3598.245,EfficientNetB0,CIFAR-10,2,128,1,2884.993,36.907,10.629,5046
186,MobileNetV2,CIFAR-10,2,32,0,1125.58,VGG,CIFAR-10,2,32,0,2736.321,38.158,10.277,5598
187,MobileNetV2,CIFAR-10,2,32,0,1105.462,VGG,CIFAR-10,2,32,1,2579.751,35.869,9.394,5632
