Unnamed: 0,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
88,MobileNetV3,ImageNet,2,64,0,2774.369,EfficientNetB0,CIFAR-10,2,64,0,1652.144,15.389,1.779,5000
89,MobileNetV3,ImageNet,2,64,0,2663.567,EfficientNetB0,CIFAR-10,2,64,1,1485.7,14.305,1.453,4906
90,MobileNetV3,ImageNet,2,64,1,2213.663,EfficientNetB0,CIFAR-10,2,64,0,1645.671,15.361,1.515,4704
91,MobileNetV3,ImageNet,2,64,1,2408.807,EfficientNetB0,CIFAR-10,2,64,1,1466.787,14.495,1.232,4634
92,MobileNetV3,ImageNet,2,64,0,2556.62,EfficientNetB0,CIFAR-10,2,128,0,3400.488,20.202,4.333,5342
93,MobileNetV3,ImageNet,2,64,0,2581.157,EfficientNetB0,CIFAR-10,2,128,1,3107.767,17.162,2.444,5092
94,MobileNetV3,ImageNet,2,64,1,2529.894,EfficientNetB0,CIFAR-10,2,128,0,3596.436,20.634,4.218,5124
95,MobileNetV3,ImageNet,2,64,1,2427.738,EfficientNetB0,CIFAR-10,2,128,1,3069.515,17.093,2.113,4798
96,MobileNetV3,ImageNet,2,128,0,5469.053,EfficientNetB0,CIFAR-10,2,32,0,895.953,14.216,1.629,5494
97,MobileNetV3,ImageNet,2,128,0,6099.859,EfficientNetB0,CIFAR-10,2,32,1,760.0,14.402,1.495,5484
98,MobileNetV3,ImageNet,2,128,1,4803.794,EfficientNetB0,CIFAR-10,2,32,0,829.586,14.835,1.608,4920
99,MobileNetV3,ImageNet,2,128,1,4824.858,EfficientNetB0,CIFAR-10,2,32,1,759.192,14.284,1.232,4914
100,MobileNetV3,ImageNet,2,128,0,5107.671,EfficientNetB0,CIFAR-10,2,64,0,1725.941,16.463,2.137,5626
101,MobileNetV3,ImageNet,2,128,0,5379.41,EfficientNetB0,CIFAR-10,2,64,1,1514.14,15.897,1.959,5532
102,MobileNetV3,ImageNet,2,128,1,,EfficientNetB0,CIFAR-10,2,64,0,1689.098,15.043,1.613,5090
103,MobileNetV3,ImageNet,2,128,1,4794.544,EfficientNetB0,CIFAR-10,2,64,1,1500.1,14.443,1.495,4962
104,MobileNetV3,ImageNet,2,128,0,5132.189,EfficientNetB0,CIFAR-10,2,128,0,3373.98,19.811,4.495,5996
105,MobileNetV3,ImageNet,2,128,0,5318.198,EfficientNetB0,CIFAR-10,2,128,1,2998.529,18.211,2.316,5718
106,MobileNetV3,ImageNet,2,128,1,4721.474,EfficientNetB0,CIFAR-10,2,128,0,3499.339,21.293,4.364,5558
107,MobileNetV3,ImageNet,2,128,1,4889.222,EfficientNetB0,CIFAR-10,2,128,1,2986.992,18.293,2.646,5182
108,MobileNetV3,ImageNet,2,32,0,1301.673,VGG,CIFAR-10,2,32,0,2693.765,26.798,6.242,5634
109,MobileNetV3,ImageNet,2,32,0,1354.828,VGG,CIFAR-10,2,32,1,2575.223,25.058,5.612,5588
110,MobileNetV3,ImageNet,2,32,1,1161.009,VGG,CIFAR-10,2,32,0,2709.755,26.653,6.069,5538
111,MobileNetV3,ImageNet,2,32,1,1188.807,VGG,CIFAR-10,2,32,1,2522.106,23.644,5.238,5544
112,MobileNetV3,ImageNet,2,32,0,1313.935,VGG,CIFAR-10,2,64,0,5521.423,30.768,9.081,4710
113,MobileNetV3,ImageNet,2,32,0,1323.187,VGG,CIFAR-10,2,64,1,4927.044,25.711,6.67,5124
114,MobileNetV3,ImageNet,2,32,1,1235.829,VGG,CIFAR-10,2,64,0,5327.321,30.165,8.796,4570
