Unnamed: 0,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
10,PointNet,ShapeNet,1,32,1,127.838,DCGAN,LSUN,1,128,0,3987.419,94.373,40.187,6434
11,PointNet,ShapeNet,1,32,1,131.898,DCGAN,LSUN,1,128,1,5241.993,66.147,33.2,6046
12,PointNet,ShapeNet,1,64,0,135.057,DCGAN,LSUN,1,32,0,1993.03,67.873,29.873,8826
13,PointNet,ShapeNet,1,64,0,133.4,DCGAN,LSUN,1,32,1,1670.105,45.458,21.278,9098
14,PointNet,ShapeNet,1,64,1,135.193,DCGAN,LSUN,1,32,0,2104.637,65.186,28.114,7012
15,PointNet,ShapeNet,1,64,1,135.587,DCGAN,LSUN,1,32,1,1726.556,44.554,18.919,7284
16,PointNet,ShapeNet,1,64,0,133.99,DCGAN,LSUN,1,64,0,3421.51,90.366,41.0,9694
17,PointNet,ShapeNet,1,64,0,133.207,DCGAN,LSUN,1,64,1,3067.745,58.493,26.155,8698
18,PointNet,ShapeNet,1,64,1,132.628,DCGAN,LSUN,1,64,0,3533.338,88.789,37.732,7098
19,PointNet,ShapeNet,1,64,1,134.47,DCGAN,LSUN,1,64,1,3188.205,55.718,23.958,6884
20,PointNet,ShapeNet,1,64,0,137.164,DCGAN,LSUN,1,128,0,3769.233,92.426,40.868,9464
21,PointNet,ShapeNet,1,64,0,134.342,DCGAN,LSUN,1,128,1,4893.069,66.536,33.623,9058
22,PointNet,ShapeNet,1,64,1,131.761,DCGAN,LSUN,1,128,0,3966.024,91.901,38.577,7650
23,PointNet,ShapeNet,1,64,1,131.663,DCGAN,LSUN,1,128,1,5094.982,62.543,31.886,7244
24,PointNet,ShapeNet,1,128,0,127.657,DCGAN,LSUN,1,32,0,2022.151,62.016,27.18,12954
25,PointNet,ShapeNet,1,128,0,124.893,DCGAN,LSUN,1,32,1,1833.228,46.839,21.268,13226
26,PointNet,ShapeNet,1,128,1,130.314,DCGAN,LSUN,1,32,0,2156.252,60.136,26.525,9456
27,PointNet,ShapeNet,1,128,1,120.534,DCGAN,LSUN,1,32,1,1982.713,45.333,19.86,9728
28,PointNet,ShapeNet,1,128,0,128.661,DCGAN,LSUN,1,64,0,3428.092,84.233,38.433,13040
29,PointNet,ShapeNet,1,128,0,130.091,DCGAN,LSUN,1,64,1,3117.76,53.951,23.344,12826
30,PointNet,ShapeNet,1,128,1,128.587,DCGAN,LSUN,1,64,0,3526.55,83.557,35.918,9542
31,PointNet,ShapeNet,1,128,1,128.185,DCGAN,LSUN,1,64,1,3302.059,54.15,23.95,9328
